timestamp_saved,dataFechaActualizado,Index,Desc,value
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,5,Capacidad Disponible,2825
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,6,Próxima Hora MW,2384
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,7,Máxima para Hoy,2616
07/25/2023 04:55 AM,7/25/2023 12:50:30 AM,8,Máxima Mensual,3004
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,0,Total de Generación,2513
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,1,PREPA,61
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,2,COGEN,39
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,3,Reserva en Rotación,290
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,4,Reserva Operacional,324
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,5,Capacidad Disponible,2825
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,6,Próxima Hora MW,2384
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:03 AM,7/25/2023 12:55:30 AM,8,Máxima Mensual,3004
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,0,Total de Generación,2491
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,1,PREPA,61
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,2,COGEN,39
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,3,Reserva en Rotación,310
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,4,Reserva Operacional,345
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,5,Capacidad Disponible,2824
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,6,Próxima Hora MW,2384
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:13 AM,7/25/2023 1:05:30 AM,8,Máxima Mensual,3004
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,0,Total de Generación,2477
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,1,PREPA,61
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,2,COGEN,39
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,3,Reserva en Rotación,288
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,4,Reserva Operacional,360
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,5,Capacidad Disponible,2825
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,6,Próxima Hora MW,2295
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:23 AM,7/25/2023 1:15:30 AM,8,Máxima Mensual,3004
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,0,Total de Generación,2467
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,1,PREPA,59
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,2,COGEN,41
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,3,Reserva en Rotación,287
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,4,Reserva Operacional,375
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,5,Capacidad Disponible,2825
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,6,Próxima Hora MW,2373
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:31 AM,7/25/2023 1:25:30 AM,8,Máxima Mensual,3004
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,0,Total de Generación,2457
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,1,PREPA,59
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,2,COGEN,41
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,3,Reserva en Rotación,294
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,4,Reserva Operacional,382
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,5,Capacidad Disponible,2824
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,6,Próxima Hora MW,2373
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:38 AM,7/25/2023 1:30:30 AM,8,Máxima Mensual,3004
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,0,Total de Generación,2451
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,1,PREPA,59
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,2,COGEN,41
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,3,Reserva en Rotación,277
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,4,Reserva Operacional,385
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,5,Capacidad Disponible,2824
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,6,Próxima Hora MW,2373
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:46 AM,7/25/2023 1:40:30 AM,8,Máxima Mensual,3004
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,0,Total de Generación,2439
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,1,PREPA,59
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,2,COGEN,41
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,3,Reserva en Rotación,286
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,4,Reserva Operacional,394
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,5,Capacidad Disponible,2824
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,6,Próxima Hora MW,2373
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,7,Máxima para Hoy,2616
07/25/2023 05:53 AM,7/25/2023 1:45:30 AM,8,Máxima Mensual,3004
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,0,Total de Generación,2433
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,1,PREPA,59
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,2,COGEN,41
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,3,Reserva en Rotación,263
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,4,Reserva Operacional,403
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,5,Capacidad Disponible,2825
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,6,Próxima Hora MW,2373
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:01 AM,7/25/2023 1:55:30 AM,8,Máxima Mensual,3004
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,0,Total de Generación,2410
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,1,PREPA,59
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,2,COGEN,41
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,3,Reserva en Rotación,280
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,4,Reserva Operacional,424
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,5,Capacidad Disponible,2825
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,6,Próxima Hora MW,2373
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,7,Máxima para Hoy,2616
07/25/2023 06:12 AM,7/25/2023 2:05:30 AM,8,Máxima Mensual,3004
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,0,Total de Generación,2392
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,1,PREPA,58
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,2,COGEN,42
07/25/2023 06:25 AM,7/25/2023 2:20:30 AM,3,Reserva en Rotación,279
